buy_usdc,snusd_received,avg_price,borrowable_usdc,net_profit_usdc
10400.0000000000,5583.6382677424,1.8625848419,5434.3775889454,-5096.3999430546
10450.0000000000,5592.2576486248,1.8686549613,5442.7665582969,-5138.0109737031
10500.0000000000,5600.8212126069,1.8747250807,5451.1012028341,-5179.6763291659
10550.0000000000,5609.3295001229,1.8807952002,5459.3820485444,-5221.3954834556
10600.0000000000,5617.7830446524,1.8868653196,5467.6096146465,-5263.1679173535
10650.0000000000,5626.1823728321,1.8929354390,5475.7844136992,-5304.9931183008
10700.0000000000,5634.5280045653,1.8990055585,5483.9069517079,-5346.8705802921
10750.0000000000,5642.8204531290,1.9050756779,5491.9777282287,-5388.7998037713
10800.0000000000,5651.0602252791,1.9111457973,5499.9972364711,-5430.7802955289
10850.0000000000,5659.2478213539,1.9172159168,5507.9659633984,-5472.8115686016
10900.0000000000,5667.3837353751,1.9232860362,5515.8843898261,-5514.8931421739
10950.0000000000,5675.4684551472,1.9293561556,5523.7529905190,-5557.0245414810
11000.0000000000,5683.5024623552,1.9354262751,5531.5722342857,-5599.2052977143
11050.0000000000,5691.4862326598,1.9414963945,5539.3425840717,-5641.4349479283
11100.0000000000,5699.4202357921,1.9475665139,5547.0644970512,-5683.7130349488
11150.0000000000,5707.3049356447,1.9536366334,5554.7384247163,-5726.0391072837
11200.0000000000,5715.1407903630,1.9597067528,5562.3648129652,-5768.4127190348
11250.0000000000,5722.9282524334,1.9657768722,5569.9441021887,-5810.8334298113
11300.0000000000,5730.6677687707,1.9718469917,5577.4767273545,-5853.3008046455
11350.0000000000,5738.3597808033,1.9779171111,5584.9631180911,-5895.8144139089
11400.0000000000,5746.0047245575,1.9839872305,5592.4036987688,-5938.3738332312
11450.0000000000,5753.6030307395,1.9900573499,5599.7988885804,-5980.9786434196
11500.0000000000,5761.1551248166,1.9961274694,5607.1491016197,-6023.6284303803
11550.0000000000,5768.6614270964,2.0021975888,5614.4547469587,-6066.3227850413
11600.0000000000,5776.1223528051,2.0082677082,5621.7162287238,-6109.0613032762
11650.0000000000,5783.5383121635,2.0143378277,5628.9339461699,-6151.8435858301
11700.0000000000,5790.9097104628,2.0204079471,5636.1082937540,-6194.6692382460
11750.0000000000,5798.2369481380,2.0264780665,5643.2396612068,-6237.5378707932
11800.0000000000,5805.5204208406,2.0325481860,5650.3284336034,-6280.4490983966
11850.0000000000,5812.7605195098,2.0386183054,5657.3749914324,-6323.4025405676
11900.0000000000,5819.9576304426,2.0446884248,5664.3797106643,-6366.3978213357
11950.0000000000,5827.1121353621,2.0507585443,5671.3429628182,-6409.4345691818
12000.0000000000,5834.2244114852,2.0568286637,5678.2651150273,-6452.5124169727
12050.0000000000,5841.2948315892,2.0628987831,5685.1465301038,-6495.6310018962
